elevation_m,slope_deg,dist_to_river_m,drainage_density,impervious_surface_ratio,rainfall_1h_mm,flood_occurred
53.69,1.162,2963.53,1.643,0.6938,15.091,0
45.51,1.806,813.64,1.548,0.3405,19.522,0
56.86,1.349,4179.56,0.746,0.6785,2.175,0
54.61,1.465,3711.27,1.534,0.1818,9.053,0
61.74,0.22,5134.33,0.803,0.2979,2.657,0
49.79,2.142,2246.36,0.551,0.4161,21.893,0
57.19,2.367,4302.2,1.812,0.2005,35.618,0
46.28,2.441,455.34,1.352,0.5514,22.251,0
54.95,0.499,3608.63,0.242,0.3773,29.089,0
61.85,0.429,5292.25,1.889,0.3203,15.999,0
55.41,1.229,4501.29,0.821,0.3877,7.291,0
46.7,1.526,1512.31,2.012,0.3946,23.394,0
66.39,2.319,6979.17,0.673,0.2525,3.955,0
60.17,0.661,5160.15,1.746,0.4959,25.276,0
62.94,1.367,6482.97,2.048,0.5451,18.156,0
61.82,0.592,5345.98,0.337,0.4595,6.493,0
49.16,0.346,2407.26,1.215,0.3673,10.824,0
44.26,2.447,577.88,1.911,0.5805,12.733,0
55.54,1.641,3986.78,1.784,0.7771,10.752,0
65.55,1.437,6902.45,0.502,0.1933,1.967,0
67.92,1.093,7652.67,1.629,0.5032,3.41,0
48.44,1.559,2181.05,0.517,0.411,5.986,0
54.86,1.08,3533.66,1.396,0.7025,18.759,0
45.79,0.939,653.66,1.647,0.6096,42.626,0
69.04,1.067,7435.55,1.365,0.249,7.749,0
70.42,1.747,8228.65,2.076,0.3667,8.508,0
64.49,2.314,6749.96,1.54,0.7303,24.163,0
60.8,1.301,5857.48,0.924,0.4038,3.578,0
48.36,2.664,1899.22,1.173,0.3086,2.664,0
44.93,2.204,748.19,1.87,0.7686,0.693,0
51.79,2.192,2928.82,0.462,0.4137,3.187,0
67.08,0.63,7083.3,1.075,0.4376,20.306,0
47.17,1.355,2095.25,0.77,0.674,10.726,0
57.25,1.419,4585.69,1.87,0.4075,52.919,0
73.32,1.4,8369.29,0.764,0.4173,13.493,0
71.64,0.56,8216.65,0.7,0.5988,37.303,0
56.68,0.467,4758.14,1.892,0.7458,6.04,0
64.41,0.583,6510.18,1.075,0.8125,4.519,0
58.19,1.109,3889.48,0.253,0.1873,12.549,0
50.44,0.273,2080.54,2.062,0.7374,18.895,0
65.58,0.558,6747.6,0.774,0.7308,21.437,0
46.07,0.214,1265.86,0.358,0.3291,32.429,0
57.23,2.091,4709.96,1.256,0.2278,6.117,0
52.4,2.264,2629.67,1.114,0.2276,42.398,0
60.26,0.243,5112.61,1.231,0.3194,2.79,0
54.3,1.283,3705.61,1.529,0.2099,66.153,0
43.75,1.568,668.51,1.215,0.8418,14.54,0
52.15,2.751,3379.81,0.707,0.1614,27.965,0
52.81,2.106,2996.34,1.457,0.6901,23.917,0
53.58,2.315,2893.16,0.55,0.6954,11.246,0
63.21,1.843,5941.27,1.823,0.1942,26.945,0
55.71,0.719,3944.51,0.284,0.8034,13.039,0
71.78,1.612,8408.63,0.707,0.6773,3.818,0
53.31,1.063,3098.58,0.449,0.4076,39.647,0
61.84,2.526,6343.78,0.973,0.8316,12.34,0
58.27,2.283,4279.2,1.654,0.2052,16.604,0
65.86,1.618,7007.67,0.842,0.206,19.467,0
50.35,1.993,2674.57,0.903,0.1796,36.729,0
51.96,2.795,3061.5,0.749,0.836,53.184,0
43.82,2.283,730.35,1.559,0.817,2.773,0
59.35,2.231,5203.61,0.27,0.1971,27.133,0
51.97,1.773,3177.16,1.558,0.8142,8.374,0
65.83,1.692,6509.91,1.259,0.4286,18.874,0
51.17,1.498,2196.74,0.974,0.5432,5.463,0
51.28,1.36,2286.43,2.193,0.3499,44.688,0
58.48,1.375,4226.08,1.997,0.4616,1.654,0
64.03,2.398,5828.21,0.839,0.3932,1.209,0
60.11,2.051,4654.24,2.055,0.5964,28.411,0
55.83,0.516,4373.55,0.602,0.2472,28.124,0
42.04,2.29,320.79,1.303,0.5784,1.623,0
51.06,2.799,2698.04,1.638,0.518,26.389,0
69.43,1.87,7016.05,1.1,0.6261,7.603,0
69.6,2.229,7474.87,1.48,0.2774,61.006,0
55.41,0.523,3733.99,0.506,0.2653,7.012,0
62.99,1.1,6058.39,2.082,0.7764,33.667,0
48.71,0.525,2205.08,0.806,0.5234,12.57,0
46.17,2.648,1516.54,0.508,0.6111,22.954,0
60.99,2.346,5183.17,0.257,0.1818,18.463,0
58.02,1.893,4944.88,1.734,0.4416,18.339,0
56.3,2.687,4283.52,1.166,0.7133,20.793,0
50.38,0.39,2598.44,0.32,0.4577,11.918,0
47.53,2.068,1813.79,1.668,0.7525,66.671,0
45.55,1.163,1198.44,1.323,0.3734,11.308,0
50.22,0.955,2346.76,0.968,0.5808,5.137,0
68.33,0.615,7368.58,0.855,0.5544,6.75,0
63.34,1.497,6510.22,0.817,0.1662,52.284,0
57.23,2.713,4345.73,0.63,0.397,0.934,0
58.19,1.424,4257.11,1.273,0.743,10.147,0
67.12,2.092,7512.63,1.728,0.4062,9.212,0
59.64,0.391,4890.37,1.209,0.6851,5.906,0
72.86,1.969,8408.36,0.438,0.8326,9.013,0
64.21,2.163,6777.14,0.598,0.5064,12.479,0
46.09,0.556,480.55,0.866,0.4816,10.991,0
59.11,1.794,5192.59,0.525,0.8434,24.2,0
51.04,1.075,2613.57,1.857,0.5226,22.204,0
51.63,1.952,2618.24,2.16,0.5586,28.68,0
62.62,1.989,6192.72,0.253,0.4822,61.441,0
65.63,2.076,6676.39,1.367,0.2694,17.849,0
59.02,2.387,5305.78,0.496,0.6265,0.577,0
70.41,1.016,8064.92,0.503,0.6334,9.509,0
65.28,2.593,6609.77,1.946,0.6651,1.157,0
46.69,1.922,1259.89,1.251,0.3696,3.423,0
70.19,1.09,7761.84,0.909,0.6904,22.973,0
60.69,0.7,5503.8,0.693,0.5407,4.585,0
69.41,0.974,8272.45,0.778,0.2951,21.973,0
50.04,2.268,2763.14,0.747,0.2353,20.321,0
55.79,2.748,3289.43,1.837,0.8182,29.39,0
50.44,1.101,2539.8,1.085,0.3295,11.739,0
50.14,1.6,1797.37,2.066,0.6373,2.658,0
59.69,1.942,5271.69,1.262,0.5966,0.971,0
54.04,2.065,3571.73,0.401,0.6895,0.094,0
59.64,2.631,4722.96,1.957,0.4842,4.004,0
70.16,1.035,8196.88,1.492,0.7856,1.687,0
57.35,2.635,4922.72,2.026,0.2725,38.505,0
47.1,2.591,1576.63,2.194,0.4279,12.311,0
72.55,2.48,7967.51,0.219,0.5476,2.043,0
70.6,0.94,8357.15,2.178,0.5303,12.259,0
70.74,0.701,7983.91,0.425,0.2637,11.055,0
48.83,0.684,2261.02,1.673,0.7035,15.099,0
65.68,2.532,6461.18,1.854,0.5107,1.633,0
64.13,0.68,5721.75,0.481,0.3765,5.131,0
50.2,2.68,2290.6,0.804,0.656,0.207,0
63.57,2.001,5590.94,0.324,0.2328,6.596,0
51.72,2.029,3505.5,0.822,0.2322,44.613,0
50.98,1.798,2578.32,0.638,0.2435,2.993,0
63.35,1.628,6380.97,1.142,0.5263,19.637,0
48.0,0.843,1934.66,1.709,0.7612,1.537,0
55.35,1.667,3852.68,0.324,0.5334,12.675,0
58.72,0.59,4910.69,0.856,0.5142,2.224,0
47.93,1.527,1825.37,1.817,0.4674,12.96,0
55.52,0.35,3937.11,1.125,0.7148,23.125,0
54.8,1.704,3425.97,0.291,0.3912,1.186,0
69.76,2.63,8450.64,0.338,0.8036,0.58,0
54.61,2.744,3534.48,1.492,0.4443,88.948,0
51.56,2.461,3312.83,2.014,0.413,20.664,0
60.11,1.104,5659.06,0.557,0.5261,13.546,0
63.32,0.779,6214.01,0.207,0.1659,6.378,0
60.73,2.341,5757.4,0.695,0.3923,5.805,0
69.5,2.085,7974.25,0.426,0.7166,9.782,0
65.03,0.736,6534.85,0.402,0.1735,16.394,0
62.88,0.327,6007.6,1.681,0.4316,4.806,0
49.01,1.51,1925.06,0.779,0.7211,23.669,0
51.42,1.755,2778.79,1.545,0.3745,6.466,0
46.11,0.981,1303.39,0.322,0.814,38.122,0
68.43,1.828,7757.25,1.054,0.4969,64.547,0
69.03,1.029,8009.33,1.033,0.2545,8.502,0
62.68,1.431,6437.1,1.899,0.3605,22.132,0
67.37,2.716,6868.52,1.315,0.2439,5.008,0
47.54,1.881,1808.03,2.044,0.743,1.746,0
64.0,1.952,6186.51,1.406,0.7615,3.752,0
65.63,2.083,6498.25,1.318,0.4856,36.651,0
52.34,2.637,2896.9,2.124,0.2321,139.615,0
56.37,0.831,4122.94,1.409,0.2932,44.399,0
58.77,1.587,4737.47,0.919,0.3331,12.944,0
55.81,0.456,4277.13,2.163,0.4786,32.956,0
68.38,1.663,7780.38,0.643,0.2521,5.439,0
70.73,1.706,7951.97,1.035,0.2567,7.205,0
54.22,1.902,3290.65,1.57,0.3301,31.026,0
69.54,1.868,8218.67,1.181,0.2678,28.523,0
47.07,2.584,1521.83,1.284,0.5993,1.089,0
41.98,2.401,384.12,2.09,0.6178,26.016,0
54.95,2.039,3564.09,0.218,0.504,8.408,0
59.79,1.934,5289.82,1.433,0.4882,12.045,0
42.37,1.576,155.54,0.749,0.8342,0.311,0
66.2,1.952,6930.52,1.812,0.7868,2.037,0
45.65,1.569,909.04,1.83,0.3371,9.102,0
53.95,1.256,3233.63,1.33,0.8432,4.608,0
63.47,2.431,5845.95,1.719,0.2155,8.583,0
57.17,0.346,4742.69,0.219,0.27,12.472,0
55.44,2.431,3744.84,0.391,0.5197,0.783,0
47.05,2.457,1875.9,1.975,0.4829,0.858,0
46.83,1.665,724.52,0.266,0.8001,6.797,0
69.46,1.726,8176.34,1.705,0.6489,9.144,0
45.08,2.37,746.27,0.978,0.7776,7.255,0
65.32,0.564,6447.12,2.177,0.6569,12.505,0
72.21,2.381,8284.32,0.881,0.6883,55.763,0
54.44,2.211,3432.31,0.259,0.3413,88.279,0
55.01,1.323,4221.07,1.559,0.6125,1.613,0
62.79,2.275,5296.37,1.626,0.2074,3.015,0
61.96,1.023,6078.09,0.413,0.1536,6.634,0
51.46,0.901,3123.31,0.465,0.2812,10.723,0
58.43,1.12,4759.82,0.386,0.5686,7.06,0
53.83,0.959,3336.0,0.976,0.2093,41.652,0
70.51,0.641,7703.74,0.961,0.2472,6.449,0
56.63,0.364,4242.24,1.069,0.4448,11.918,0
44.6,1.825,746.14,1.388,0.2869,2.036,0
52.21,2.667,2659.13,0.864,0.5841,29.341,0
50.92,2.435,2868.15,2.148,0.2453,6.96,0
72.1,0.722,8057.14,0.828,0.8252,62.369,0
50.45,1.697,2548.16,0.685,0.4132,30.519,0
52.59,0.496,3400.66,1.328,0.5646,14.199,0
59.57,1.4,5826.39,1.617,0.4569,6.199,0
61.8,2.329,5919.82,1.791,0.4364,12.452,0
61.06,2.06,5420.02,1.778,0.2018,84.201,0
58.2,1.242,4125.57,1.213,0.7943,21.181,0
58.62,2.528,4666.62,1.274,0.5967,1.599,0
63.86,1.91,6559.21,0.91,0.6029,0.816,0
70.73,2.157,8362.31,2.131,0.4513,0.191,0
48.87,1.528,2273.4,1.238,0.5564,15.412,0
53.86,1.73,3844.54,1.201,0.3915,0.448,0
46.73,1.282,978.21,2.123,0.2312,50.845,0
46.01,0.738,1290.07,1.166,0.4833,10.378,0
64.06,1.029,5952.81,0.801,0.7171,2.201,0
66.24,0.627,7233.11,2.168,0.3207,3.451,0
45.61,1.656,1445.14,2.117,0.3123,9.347,0
46.96,0.276,1649.39,1.428,0.2881,16.146,0
52.8,2.032,3366.22,0.612,0.6766,29.773,0
46.14,0.686,625.54,0.852,0.4703,5.477,0
69.16,1.572,7346.15,1.478,0.5679,17.009,0
58.27,1.805,5030.84,1.827,0.6442,6.355,0
62.31,0.42,5261.67,0.468,0.2325,6.559,0
47.23,1.287,1637.57,0.476,0.4186,3.699,0
59.69,2.003,5438.21,1.491,0.8499,14.571,0
57.41,1.373,4212.99,0.307,0.4013,0.173,0
47.17,2.32,1246.89,2.128,0.5038,12.296,0
60.5,1.471,5851.45,0.365,0.1716,25.768,0
52.1,0.915,2553.56,1.275,0.2677,11.002,0
64.33,0.494,6337.15,0.428,0.6926,31.198,0
51.63,2.339,3181.64,0.283,0.6533,14.228,0
73.26,2.153,8414.12,0.795,0.8495,10.752,0
53.95,2.323,3028.05,1.078,0.8458,26.9,0
49.91,1.112,2090.35,1.622,0.5929,3.267,0
44.96,0.737,1269.57,0.614,0.1916,7.777,0
49.58,2.031,2461.11,0.779,0.3371,35.137,0
71.07,1.966,8378.1,0.39,0.8239,27.726,0
71.77,0.53,7817.66,1.932,0.3248,22.369,0
66.59,2.18,7059.25,1.552,0.4926,15.505,0
49.12,1.847,2357.22,1.96,0.2152,13.048,0
51.21,2.634,2437.1,0.938,0.8152,7.136,0
42.72,2.1,120.77,1.117,0.6149,7.983,0
42.28,1.59,631.98,0.636,0.4508,4.285,0
50.76,1.703,2355.71,1.332,0.4897,7.582,0
61.46,0.326,5833.44,0.399,0.6987,11.077,0
46.81,0.202,1143.59,2.116,0.2916,21.0,0
45.22,1.89,1208.07,0.518,0.8029,5.764,0
61.59,2.55,5598.54,0.531,0.4274,6.562,0
64.07,0.809,5975.31,1.511,0.6426,0.02,0
56.95,1.968,4105.18,0.219,0.6369,30.58,0
72.04,1.298,8400.5,0.464,0.1996,8.694,0
64.67,2.491,6238.41,0.474,0.6914,25.182,0
46.89,2.782,1218.43,0.486,0.5214,0.153,0
59.67,1.833,5560.17,0.503,0.4382,20.883,0
68.34,0.425,7323.69,0.401,0.6767,16.03,0
54.66,0.564,3325.87,0.754,0.209,14.51,0
59.75,1.78,5140.07,1.758,0.6333,33.897,0
61.25,1.525,5630.61,1.696,0.3569,1.01,0
70.12,2.682,7642.47,1.19,0.2289,12.462,0
56.55,2.766,5089.01,2.068,0.2424,35.495,0
58.48,1.15,4874.4,1.566,0.6839,55.602,0
65.45,0.882,6571.08,0.28,0.1923,28.031,0
57.29,1.834,4355.53,1.202,0.4408,21.78,0
43.16,0.921,792.39,0.82,0.5079,4.089,0
65.73,1.595,6887.7,0.981,0.594,32.381,0
64.07,2.098,5820.87,1.893,0.1905,1.623,0
55.87,1.379,3749.66,1.418,0.3665,24.365,0
65.5,2.024,6321.53,0.528,0.8171,13.325,0
66.65,2.074,6677.09,0.534,0.2389,27.346,0
51.81,0.276,2357.62,1.814,0.3404,1.188,0
61.94,1.699,6083.52,0.354,0.4686,8.037,0
55.99,0.863,4296.72,0.406,0.5517,23.093,0
48.6,1.523,2018.6,0.288,0.754,5.048,0
55.71,2.621,4062.82,1.915,0.537,44.15,0
64.58,1.29,6321.59,0.844,0.4414,22.932,0
51.35,1.505,2378.57,2.004,0.2755,29.365,0
71.75,2.681,8343.88,0.338,0.4756,5.971,0
66.48,0.221,7196.71,0.601,0.5447,6.521,0
62.0,1.406,5330.83,1.383,0.4954,26.66,0
49.74,0.837,1741.55,0.213,0.437,4.775,0
51.35,2.383,3009.96,1.954,0.8157,0.026,0
62.8,0.47,5621.35,1.26,0.3167,12.192,0
42.54,2.792,603.12,1.623,0.2151,45.752,0
66.88,1.168,7637.21,2.149,0.2094,1.808,0
46.04,2.332,1221.52,0.35,0.5475,10.276,0
70.78,1.019,8199.43,1.802,0.6405,23.928,0
52.63,0.907,2771.68,0.349,0.2919,27.249,0
59.94,1.412,5011.55,1.013,0.5251,60.156,0
49.05,1.002,1844.14,0.73,0.2339,3.087,0
63.38,0.305,5862.86,1.872,0.3795,1.722,0
48.0,1.125,2185.04,1.227,0.624,5.424,0
72.67,1.376,8421.68,1.696,0.3249,11.16,0
66.22,0.563,6852.73,0.224,0.7313,72.889,0
46.71,1.839,1198.01,1.489,0.5576,5.391,0
65.21,0.257,6927.08,0.329,0.7817,10.547,0
48.0,1.062,1181.85,0.285,0.4727,3.31,0
57.95,2.336,4920.63,0.99,0.1706,20.691,0
47.6,0.928,1551.58,1.967,0.1743,17.378,0
50.33,0.967,2164.59,1.024,0.5355,1.133,0
51.1,2.5,2450.12,1.252,0.5915,29.166,0
66.33,2.772,6776.71,1.764,0.4014,14.155,0
57.81,1.21,4171.31,0.56,0.3732,4.45,0
67.95,2.224,7624.42,0.317,0.8441,13.569,0
68.14,0.46,6541.47,1.514,0.3366,30.499,0
69.31,0.345,7804.98,2.193,0.3036,33.734,0
64.39,2.398,6798.08,0.552,0.5648,29.538,0
64.67,2.576,5960.06,0.256,0.6404,53.065,0
58.21,2.769,4834.29,1.963,0.4946,6.654,0
56.47,0.435,4219.67,0.665,0.3032,13.455,0
43.07,0.539,105.74,1.634,0.7931,33.475,1
51.47,0.257,2818.15,1.373,0.7921,26.799,0
69.19,1.171,7210.44,2.084,0.4269,1.917,0
48.88,0.555,2634.83,0.515,0.8141,28.25,0
70.15,2.719,8169.56,1.587,0.8002,27.836,0
48.31,1.731,1975.19,0.551,0.3648,20.994,0
45.71,2.667,1169.73,0.983,0.846,60.438,1
40.4,1.766,372.02,2.042,0.8273,4.493,0
59.59,2.138,4850.62,0.676,0.8377,3.308,0
68.12,0.431,7536.69,1.618,0.5974,39.192,0
55.39,0.376,3851.69,0.713,0.2256,0.023,0
54.6,2.105,3341.87,2.138,0.7692,12.229,0
52.95,1.447,3281.19,1.928,0.6057,20.917,0
46.97,0.392,1466.31,1.892,0.3564,6.908,0
70.98,1.176,8093.96,1.664,0.5329,41.112,0
45.42,1.744,882.08,1.427,0.4879,0.567,0
71.34,0.608,8016.51,0.403,0.2939,3.793,0
65.02,2.077,5956.45,1.66,0.3357,5.951,0
50.82,2.384,2095.41,0.507,0.4026,10.043,0
51.49,1.921,2574.22,1.4,0.2898,0.469,0
47.24,2.394,1534.99,0.817,0.4282,12.088,0
62.26,0.437,5652.74,1.288,0.2794,39.008,0
52.33,1.409,3202.97,0.652,0.338,1.145,0
64.78,1.935,6418.78,0.371,0.3907,14.034,0
69.6,2.386,8253.93,1.837,0.443,13.803,0
67.02,1.435,7381.91,1.963,0.4834,1.48,0
68.58,2.541,7683.33,1.801,0.6243,17.429,0
44.5,2.169,1110.37,0.546,0.8391,64.466,1
67.0,2.77,6891.07,1.071,0.8481,17.762,0
67.77,0.871,7106.51,2.022,0.7899,1.249,0
52.91,0.918,3360.03,1.116,0.7614,27.798,0
61.31,1.559,5333.69,1.039,0.4401,2.887,0
59.78,2.605,5038.65,1.325,0.2207,6.066,0
55.26,1.094,4599.32,1.022,0.4181,11.965,0
61.19,0.574,5215.28,1.417,0.6356,0.712,0
68.73,1.062,7572.42,0.675,0.672,45.652,0
70.92,0.988,7635.06,0.761,0.4941,21.444,0
45.52,2.459,925.03,0.469,0.832,10.537,0
66.48,1.878,7036.92,0.576,0.298,31.268,0
65.37,2.175,6323.94,1.934,0.7247,13.035,0
46.49,0.553,1435.37,1.903,0.7655,0.529,0
49.34,2.366,1719.21,1.874,0.3246,10.973,0
69.07,2.341,7811.46,1.21,0.5948,2.38,0
42.33,1.168,356.73,1.388,0.2743,36.791,0
59.18,2.526,5029.79,1.698,0.6322,6.04,0
54.3,0.624,3347.15,1.345,0.8254,35.022,0
60.97,1.265,5537.99,0.24,0.6962,26.265,0
41.76,2.57,174.74,1.495,0.5708,0.153,0
50.12,2.714,2220.08,1.485,0.4467,8.503,0
51.64,0.855,3029.16,1.133,0.624,31.303,0
55.18,1.922,3436.08,1.887,0.412,18.761,0
61.12,0.976,5216.02,0.416,0.1947,80.161,0
61.79,2.049,5481.0,1.985,0.3592,2.924,0
64.14,2.539,6529.98,1.811,0.7117,16.495,0
60.96,1.904,5648.45,2.195,0.3316,9.761,0
52.03,0.292,3361.51,1.616,0.5504,3.791,0
63.97,2.241,6203.02,2.013,0.6203,12.742,0
68.67,2.386,7201.52,1.953,0.2768,1.849,0
45.99,2.184,1174.73,0.566,0.6258,7.361,0
47.15,1.124,850.12,1.688,0.365,27.929,0
52.02,2.413,2883.06,1.141,0.7565,15.769,0
71.11,0.385,8032.13,1.979,0.5003,36.381,0
53.45,2.421,3306.02,0.475,0.2902,9.473,0
59.47,2.557,4882.99,1.115,0.3715,22.637,0
63.56,0.66,6643.11,1.469,0.1533,5.752,0
